trip_id,route_id,service_id,block_id,shape_id
1574,40,2,9202,31
3056,18,4,3702,14
2928,54,4,6501,30
2813,49,4,7201,3
1751,95,1,3804,10
978,45,3,2502,27
2667,82,4,302,29
462,54,1,6501,30
3118,96,4,7103,13
1838,18,2,3705,15
121,59,3,3002,68
2290,89,1,1901,23
993,86,1,201,36
984,45,3,2502,27
20,67,1,6456,67
418,49,2,7201,3
222,57,1,401,0
769,46,2,3201,5
2287,89,1,1901,23
1539,40,1,9202,31
2648,82,4,301,21
1428,82,3,301,21
329,40,1,9202,2
3029,18,4,3804,15
77,59,2,3003,68
372,49,1,7201,37
2034,96,1,7101,13
2139,80,1,3452,7
47,84,2,701,53
1981,96,1,7102,17
676,39,3,8002,1
2625,86,4,201,28
2587,40,4,9202,2
141,40,2,9201,2
2729,59,4,3002,19
1252,57,3,401,0
1710,18,1,3802,9
667,39,3,8001,35
2895,54,4,6501,24
1587,40,3,9201,31
1652,54,3,6501,30
2048,96,1,7102,13
2578,40,4,9201,2
2925,54,4,6501,30
1153,83,1,4452,52
3208,95,4,3803,26
948,57,3,402,82
1712,18,1,3804,9
1935,18,3,3703,15
3205,95,4,3803,26
1952,18,3,3703,9
2884,39,4,8002,35
1477,45,1,2501,27
2173,96,2,7102,17
1359,82,1,301,29
1976,96,1,7101,17
3007,85,4,3401,11
379,49,1,7201,37
26,61,1,9054,40
2778,46,4,3201,6
2973,81,4,501,12
1279,57,3,401,0
2797,46,4,3201,5
816,59,1,3002,18
1721,18,1,3702,9
711,57,1,404,16
2580,40,4,9201,2
3222,95,4,3803,10
703,57,1,403,16
779,46,2,3202,5
2357,57,4,405,0
29,84,1,702,53
2945,54,4,6501,30
2773,46,4,3202,6
1543,40,1,9202,31
1563,40,2,9201,31
2145,80,1,3453,7
2861,39,4,8001,1
2515,75,4,901,50
2830,49,4,7201,37
1749,95,1,3802,10
2927,54,4,6501,30
3152,96,4,7102,13
416,49,2,7201,3
1352,82,1,301,29
2857,88,4,7801,8
166,54,2,6501,30
965,45,2,2501,69
18,67,1,6457,67
1013,57,1,405,16
1498,45,1,2501,47
2320,89,1,1901,4
1642,54,3,6501,30
765,46,2,3201,6
822,59,1,3004,19
2434,57,4,407,16
494,39,1,8003,35
1466,45,1,2502,27
743,39,1,8003,35
1040,57,1,403,0
1282,57,3,401,0
1644,54,3,6501,30
598,88,3,7801,8
782,46,2,3202,5
1366,82,1,301,29
917,54,1,6551,30
1056,57,1,403,0
2444,57,4,406,16
2286,89,1,1901,23
639,39,2,8001,35
2493,84,4,701,55
2543,18,4,3801,9
3165,67,4,6402,63
1928,18,3,3701,15
2968,81,4,552,48
1631,54,3,6501,24
2799,46,4,3203,5
2623,86,4,201,28
1185,57,2,402,0
2407,57,4,406,16
2330,57,4,402,0
2043,96,1,7101,13
1151,83,1,4453,52
1636,54,3,6501,24
1637,54,3,6501,24
189,84,1,701,55
511,39,1,8002,1
3077,96,4,7101,17
1018,47,1,3901,44
182,54,2,6501,30
2404,57,4,403,16
44,84,2,701,53
813,59,1,3001,18
672,39,3,8002,1
811,59,1,3004,18
3106,96,4,7101,17
1357,82,1,301,29
1107,86,2,201,28
448,49,3,7201,37
3168,67,4,6451,67
642,39,2,8002,35
1009,86,1,201,28
3156,96,4,7101,13
3231,95,4,3802,10
1730,95,1,3803,26
2487,84,4,701,55
1220,57,2,402,16
1001,86,1,201,28
2525,75,4,901,43
2161,85,1,502,61
2530,75,4,901,43
11,40,3,9201,2
2506,75,4,901,50
2934,54,4,6501,30
441,49,3,7201,3
2368,57,4,407,0
1830,18,2,3703,15
500,39,1,8003,35
2498,84,4,702,55
333,40,1,9202,2
1387,82,1,302,21
