block_seq_num,block_var_num,block_route_num,block_run_num
3902013-1,1,981,1
3902012-1,1,301,3
3902011-1,1,301,16
3902010-1,1,301,1
3902009-1,1,5,27
3902008-1,1,301,17
3902007-1,1,301,9
3902006-1,1,17,2
3902005-1,1,303,14
3902004-1,1,55,3
3902003-1,1,355,3
3902002-1,1,301,19
3902001-1,1,21,4
3902000-1,1,303,15
3901999-1,1,301,2
3901998-1,1,21,9
3901997-1,1,17,9
3901996-1,1,303,6
3901995-1,1,355,9
3901994-2,2,984,1
3901994-1,1,984,1
3901993-1,1,303,8
3901992-1,1,55,11
3901991-1,1,18,2
3901990-1,1,355,4
3901989-1,1,303,11
3901988-1,1,301,10
3901987-1,1,21,6
3901986-1,1,21,3
3901985-2,2,995,2
3901985-1,1,995,2
3901984-1,1,301,8
3901983-1,1,301,12
3901982-1,1,303,7
3901981-1,1,303,13
3901980-1,1,303,3
3901979-1,1,57,1
3901978-1,1,5,11
3901977-2,2,994,2
3901977-1,1,994,2
3901976-1,1,56,8
3901975-1,1,18,3
3901974-1,1,303,1
3901973-1,1,55,2
3901972-1,1,56,9
3901971-1,1,303,5
3901970-1,1,980,1
3901969-1,1,995,1
3901968-1,1,56,6
3901967-1,1,21,8
3901966-1,1,5,14
3901965-1,1,18,13
3901964-1,1,17,3
3901963-1,1,48,10
3901962-1,1,987,1
3901961-1,1,994,1
3901960-1,1,303,9
3901959-1,1,301,5
3901958-1,1,21,5
3901957-1,1,17,6
3901956-1,1,301,13
3901955-1,1,18,15
3901954-1,1,57,2
3901953-1,1,15,13
3901952-2,2,988,2
3901952-1,1,988,2
3901951-1,1,355,12
3901950-1,1,303,10
3901949-1,1,15,10
3901948-1,1,301,4
3901947-1,1,355,11
3901946-1,1,44,3
3901945-1,1,57,11
3901944-1,1,21,2
3901943-1,1,18,1
3901942-1,1,17,1
3901941-1,1,44,2
3901940-1,1,5,24
3901939-1,1,56,2
3901938-1,1,18,10
3901937-1,1,355,1
3901936-1,1,987,2
3901935-1,1,56,1
3901934-1,1,21,7
3901933-1,1,44,1
3901932-1,1,17,8
3901931-1,1,18,16
3901930-1,1,55,12
3901929-1,1,301,14
3901928-1,1,303,2
3901927-1,1,15,12
3901926-1,1,48,6
3901925-1,1,301,11
3901924-1,1,56,3
3901923-1,1,5,6
3901922-1,1,303,4
3901921-1,1,301,6
3901920-1,1,301,7
3901919-1,1,21,11
3901918-1,1,303,16
3901917-1,1,355,8
3901916-1,1,18,12
3901915-1,1,5,23
3901914-1,1,5,13
3901913-1,1,5,18
3901912-1,1,5,15
3901911-1,1,5,5
3901910-1,1,5,16
3901909-1,1,5,12
3901908-1,1,5,2
3901907-1,1,5,9
3901906-1,1,5,10
3901905-1,1,5,4
3901904-1,1,5,1
3901903-1,1,5,7
3901902-1,1,5,19
3900404-1,1,65,33
3900403-1,1,68,34
3900402-1,1,65,32
3900401-1,1,68,33
3900400-1,1,373,32
3900399-1,1,373,31
3900398-1,1,331,30
3900397-1,1,373,30
3900396-1,1,65,31
3900395-1,1,75,30
3900394-1,1,65,30
